Title,Year,Standardized Title
Management Of Aorto-Enteric Fistulas,2022,management of aorto-enteric fistulas
Current Management Of Endoleaks,2022,current management of endoleaks
Iliac Aneurysm Disease: Management And Special Considerations,2022,iliac aneurysm disease: management and special considerations
Vascular Vision: The Innovation Pipeline through Partnership,2022,vascular vision: the innovation pipeline through partnership
Vascular Quality Initiative Assessment Of Compliance With Society For Vascular Surgery Clinical Practice Guidelines On The Management Of Extracranial Cerebrovascular Disease,2022,vascular quality initiative assessment of compliance with society for vascular surgery clinical practice guidelines on the management of extracranial cerebrovascular disease
Recurrent Interventions After Radiocephalic Arteriovenous Fistula Creation: A Post-Hoc Analysis Of Randomized Controlled Trials,2022,recurrent interventions after radiocephalic arteriovenous fistula creation: a post-hoc analysis of randomized controlled trials
Three Vessel Endovascular Aortic Arch Repair,2022,three vessel endovascular aortic arch repair
Presence Of A Patent Pedal Arch Is The Primary Predictor Of Transmetatarsal Amputation Healing And Limb Salvage,2022,presence of a patent pedal arch is the primary predictor of transmetatarsal amputation healing and limb salvage
The Financial Burden Associated With Endovascular Repair Of Thoracoabdominal And Pararenal Aortic Aneurysms Utilizing Physician-Modified Fenestrated-Branched Endografts,2022,the financial burden associated with endovascular repair of thoracoabdominal and pararenal aortic aneurysms utilizing physician-modified fenestrated-branched endografts
Update On The Vascular Surgery Board (VSB) Of The American Surgery Board (ASB),2022,update on the vascular surgery board (vsb) of the american surgery board (asb)
Demographic and Social Determinants of Vascular Outcomes,2022,demographic and social determinants of vascular outcomes
Initial Experience Using Fiber Optic Realshape Guidance In Complex Endovascular Aortic Repair,2022,initial experience using fiber optic realshape guidance in complex endovascular aortic repair
Symptomatic Peripheral Arterial Disease Increases Risk For Perioperative Death In Men And Women Following Open Abdominal Aortic Aneurysm Repair,2022,symptomatic peripheral arterial disease increases risk for perioperative death in men and women following open abdominal aortic aneurysm repair
Laser-Assisted Trans-Endograft Coil Embolization Of Type 2 Endoleak,2022,laser-assisted trans-endograft coil embolization of type 2 endoleak
TBK1/IKKɛ Inhibitors To Prevent Intimal Hyperplasia Following Balloon Angioplasty And Lower Extremity Bypass,2022,tbk1/ikkɛ inhibitors to prevent intimal hyperplasia following balloon angioplasty and lower extremity bypass
My PAD: A Pilot Of Patient Reported Outcomes For Peripheral Vascular Interventions In The Vascular Quality Initiative,2022,my pad: a pilot of patient reported outcomes for peripheral vascular interventions in the vascular quality initiative
Fate Of The Occluded Infra-Inguinal Bypass: Natural History And Factors Contributing To Amputation-Free Survival,2022,fate of the occluded infra-inguinal bypass: natural history and factors contributing to amputation-free survival
Greater Travel Distance Predicts Increased Costs After Complex Aortic Surgery,2022,greater travel distance predicts increased costs after complex aortic surgery
Internal Iliac Artery Navigation Using Fiber Optic Realshape Technology,2022,internal iliac artery navigation using fiber optic realshape technology
Novel Surgical Quality Metrics In Abdominal Aortic Aneurysm Repair,2022,novel surgical quality metrics in abdominal aortic aneurysm repair
The Evolution of Aortic Technology and What is Coming Next,2022,the evolution of aortic technology and what is coming next
Prevalence And Associated Expenditures For Treatment Of Chronic Limb-Threatening Ischemia In The Commercially Insured Younger Population,2022,prevalence and associated expenditures for treatment of chronic limb-threatening ischemia in the commercially insured younger population
Determinants Of Optimal Medical Therapy In Patients With Chronic Limb Threatening Ischemia,2022,determinants of optimal medical therapy in patients with chronic limb threatening ischemia
Characterization And Management Of Type II And Complex Endoleaks After Fenestrated/Branched Endovascular Aortic Repair,2022,characterization and management of type ii and complex endoleaks after fenestrated/branched endovascular aortic repair
Creating a Bold New Future for Vascular Surgery: It’s Go Time,2022,creating a bold new future for vascular surgery: it’s go time
Surgical Education: Training General Surgery Residents in an Era of Early Vascular Specialization,2022,surgical education: training general surgery residents in an era of early vascular specialization
Single-Center Experience Of Fenestrated Endovascular Aortic Repair Using Physician-Modified Endovascular Grafts Prior To Initiation Of An Investigation Device Exemption Trial,2022,single-center experience of fenestrated endovascular aortic repair using physician-modified endovascular grafts prior to initiation of an investigation device exemption trial
The Contemporary Impact Of Body Mass Index On Open Aortic Aneurysm Repair,2022,the contemporary impact of body mass index on open aortic aneurysm repair
Aspirin Monotherapy Is More Cost-Effective Than Rivaroxaban + Aspirin In Peripheral Arterial Disease Patients After Revascularization,2022,aspirin monotherapy is more cost-effective than rivaroxaban + aspirin in peripheral arterial disease patients after revascularization
CO2 Angiography During Peripheral Vascular Interventions Reduces Risk Of Post-Contrast Acute Kidney Injury And Cardiac Complications In Patients With Advanced Chronic Kidney Disease,2022,co2 angiography during peripheral vascular interventions reduces risk of post-contrast acute kidney injury and cardiac complications in patients with advanced chronic kidney disease
Venous Thromboembolism Risk Among Transgender And Gender Nonbinary Individuals Receiving Gender-Affirming Hormone Therapy,2022,venous thromboembolism risk among transgender and gender nonbinary individuals receiving gender-affirming hormone therapy
The Vascular Quality Initiative Assessment Of The Bard Lifestent(TM) For The Treatment Of Popliteal Artery Occlusive Disease,2022,the vascular quality initiative assessment of the bard lifestent(tm) for the treatment of popliteal artery occlusive disease
Successful Treatment Of Paraplegia Caused By Venous Hypertension Secondary To Extensive Iliocaval Deep Venous Thrombosis In The Absence Of Phlegmasia Cerulea Dolens,2022,successful treatment of paraplegia caused by venous hypertension secondary to extensive iliocaval deep venous thrombosis in the absence of phlegmasia cerulea dolens
"Among Female Patients, In-Hospital Outcomes After Carotid Endarterectomy, Transcarotid Artery Revascularization, And Transfemoral Carotid Artery Stenting Vary By Preoperative Symptom Status",2022,"among female patients, in-hospital outcomes after carotid endarterectomy, transcarotid artery revascularization, and transfemoral carotid artery stenting vary by preoperative symptom status"
Women Of Child-Bearing Age Have Higher Mortality Rates Following Interventions For Splenic Artery Aneurysms,2022,women of child-bearing age have higher mortality rates following interventions for splenic artery aneurysms
Direct Oral Anticoagulants Versus Direct Thrombin Inhibitors For Treatment Of Acute Heparin-Induced Thrombocytopenia,2022,direct oral anticoagulants versus direct thrombin inhibitors for treatment of acute heparin-induced thrombocytopenia
Unique and Challenging Cases – What Would You Do?,2022,unique and challenging cases – what would you do?
Critical Limb Ischemia: Techniques And Updates,2021,critical limb ischemia: techniques and updates
Quality Of Life (QoL) In CLI Patients,2021,quality of life (qol) in cli patients
Techniques And Outcomes Of Pedal Bypass,2021,techniques and outcomes of pedal bypass
Retrograde Pedal Techniques For Revascularization,2021,retrograde pedal techniques for revascularization
Hybrid Procedures For Revascularization,2021,hybrid procedures for revascularization
Drug Coated Technology And Updates,2021,drug coated technology and updates
CLI Global Guidelines And WiFi Classification,2021,cli global guidelines and wifi classification
COVID And CLI/Thrombotic Events?,2021,covid and cli/thrombotic events?
Deep Venous Arterialization Procedures,2021,deep venous arterialization procedures
Endovascular Fem-Pop Bypass,2021,endovascular fem-pop bypass
Advances In Amputation Techniques,2021,advances in amputation techniques
Multidisciplinary Limb Preservation,2021,multidisciplinary limb preservation
CLI No Option Therapies,2021,cli no option therapies
Best CLI Update,2021,best cli update
Retroperitoneal Operative Approach Is Associated With Improved Perioperative Outcomes In Open Repair Of Complex Abdominal Aortic Aneurysms,2021,retroperitoneal operative approach is associated with improved perioperative outcomes in open repair of complex abdominal aortic aneurysms
Center Volume Is Associated With Diminished Failure To Rescue And Improved Outcomes Following Open AAA Repair,2021,center volume is associated with diminished failure to rescue and improved outcomes following open aaa repair
Early And Delayed Changes In Vascular Surgery Practice Patterns One Year Into The COVID-19 Pandemic,2021,early and delayed changes in vascular surgery practice patterns one year into the covid-19 pandemic
The Utility Of The Bilateral Temporal Artery Biopsy For Diagnosis Of Giant Cell Arteritis,2021,the utility of the bilateral temporal artery biopsy for diagnosis of giant cell arteritis
The Safety And Efficacy Of Perioperative Dual Antiplatelet Therapy With Ticagrelor Versus Clopidogrel In Patients Undergoing Carotid Artery Stenting,2021,the safety and efficacy of perioperative dual antiplatelet therapy with ticagrelor versus clopidogrel in patients undergoing carotid artery stenting
"If You Do Not Change Direction, You May End Up Where You Are Heading",2021,"if you do not change direction, you may end up where you are heading"
"The Contemporary Incidence, Outcomes And Survival Associated With EVAR Conversion To Open Repair",2021,"the contemporary incidence, outcomes and survival associated with evar conversion to open repair"
Single-Vessel Branched Endovascular Repair Of An Enlarging Aortic Arch Pseudoaneurysm,2021,single-vessel branched endovascular repair of an enlarging aortic arch pseudoaneurysm
Contemporary Indications For Open Abdominal Aortic Aneurysm Repair In The Endovascular Era,2021,contemporary indications for open abdominal aortic aneurysm repair in the endovascular era
The Effect Of Escalating Antithrombotic Therapy On Lower Extremity Outcomes Following Infrapopliteal Bypass For Chronic Limb-Threatening Ischemia,2021,the effect of escalating antithrombotic therapy on lower extremity outcomes following infrapopliteal bypass for chronic limb-threatening ischemia
High Risk Characteristics For Clinical Failure After Isolated Femoropopliteal Peripheral Vascular Interventions,2021,high risk characteristics for clinical failure after isolated femoropopliteal peripheral vascular interventions
The Utility Of A Routine Completion Angiogram In Infrainguinal Bypasses,2021,the utility of a routine completion angiogram in infrainguinal bypasses
Perivascular Adipose Tissue Surrounding Healthy And Diseased Human Aorta Represent Two Distinct Populations Of Adipocytes,2021,perivascular adipose tissue surrounding healthy and diseased human aorta represent two distinct populations of adipocytes
Pregnancy-Related Factors And The Development Of Varicose Veins,2021,pregnancy-related factors and the development of varicose veins
Alternative Approaches To The Abdominal Aorta: Outcomes Of The Right Retroperitoneal Approach For Aortic Surgery,2021,alternative approaches to the abdominal aorta: outcomes of the right retroperitoneal approach for aortic surgery
THE BEST-CLI TRIAL UPDATE,2021,the best-cli trial update
New Insights into Abdominal Aortic Aneurysm Rupture,2021,new insights into abdominal aortic aneurysm rupture
Global Burden Of Disease Of Peripheral Artery Disease,2021,global burden of disease of peripheral artery disease
"Early Outcomes Of Acute Limb Ischemia In Coronavirus Disease (COVID-19): A Multicenter, Retrospective Cohort Study",2021,"early outcomes of acute limb ischemia in coronavirus disease (covid-19): a multicenter, retrospective cohort study"
Mid-Term Survival Following Endovascular Repair Versus Open Repair Of Complex Abdominal Aortic Aneurysms Stratified By Age,2021,mid-term survival following endovascular repair versus open repair of complex abdominal aortic aneurysms stratified by age
Reemerging from the Pandemic: How Do We Restart?,2021,reemerging from the pandemic: how do we restart?
Social Determinants of Health in the Vascular Population,2021,social determinants of health in the vascular population
"Radiographic Relationships Of The Femoral Head, Inguinal Ligament And Common Femoral Artery Bifurcation For Optimal Vascular Access",2021,"radiographic relationships of the femoral head, inguinal ligament and common femoral artery bifurcation for optimal vascular access"
Pre-Operative Anemia Is Associated With Post-Operative Renal Failure After Elective Open Aortic Repair,2021,pre-operative anemia is associated with post-operative renal failure after elective open aortic repair
Placement And Retrieval Of Bilateral Iliac Vein Filters In Patients With Mega Cava,2021,placement and retrieval of bilateral iliac vein filters in patients with mega cava
Not All Risk Scores Are Created Equal: A Comparison Of Risk Scores For Abdominal Aortic Aneurysm Repair In Administrative Data And Quality Improvement Registries,2021,not all risk scores are created equal: a comparison of risk scores for abdominal aortic aneurysm repair in administrative data and quality improvement registries
Meta-Analysis Of Closed-Incision Negative Pressure Wound Therapy For Vascular Surgery Groin Wounds,2021,meta-analysis of closed-incision negative pressure wound therapy for vascular surgery groin wounds
Creation Of Attending Weekly Night Call System Does Not Adversely Affect Productivity,2021,creation of attending weekly night call system does not adversely affect productivity
Pre-Operative Vein Mapping Is Not Associated With Arteriovenous Access Type Created But Is Associated With Improved Patency,2021,pre-operative vein mapping is not associated with arteriovenous access type created but is associated with improved patency
Endovascular Iliac Artery Aneurysm Repair With Iliac Branch Endoprosthesis In Type III Loeys-Dietz Syndrome,2021,endovascular iliac artery aneurysm repair with iliac branch endoprosthesis in type iii loeys-dietz syndrome
A Comparative Analysis Of Lower Extremity Amputations And Socioeconomic Determinants Before And During The COVID-19 State Of Emergency In Patients Presenting With Acute Limb Ischemia,2021,a comparative analysis of lower extremity amputations and socioeconomic determinants before and during the covid-19 state of emergency in patients presenting with acute limb ischemia
Shrapnel Injury Leading To Posterior Tibial Arteriovenous Fistula: A Complex Repair,2021,shrapnel injury leading to posterior tibial arteriovenous fistula: a complex repair
Unique and Challenging Cases – What Would You Do?,2021,unique and challenging cases – what would you do?
Practical Technical Tips—How I Do It,2020,practical technical tips—how i do it
Endovascular Carotid Artery Interventions Including TCAR,2020,endovascular carotid artery interventions including tcar
Eversion Carotid Artery Endarterectomy,2020,eversion carotid artery endarterectomy
Carotid Artery Endarterectomy Under Regional Anesthetic,2020,carotid artery endarterectomy under regional anesthetic
Percutaneous Venous Ablation,2020,percutaneous venous ablation
Acute DVT Thrombolysis,2020,acute dvt thrombolysis
Fenestrated Aortic Endografts,2020,fenestrated aortic endografts
Group Q & A (Speakers 1-6) (Live),2020,group q & a (speakers 1-6) (live)
Open Thoraco-Abdominal Aortic Aneurysm Repair,2020,open thoraco-abdominal aortic aneurysm repair
Tibial Endovascular Interventions,2020,tibial endovascular interventions
Pedal/Plantar Loop Reconstruction For CLTI,2020,pedal/plantar loop reconstruction for clti
Femoral-Tibial Bypass,2020,femoral-tibial bypass
