Title,Year,Standardized Title
Total Aortic Arch Endograft And Double In-Situ Fenestration With Gutter Balloon Perfusion For Aortobronchial Fistula: A Case Report,2023,total aortic arch endograft and double in-situ fenestration with gutter balloon perfusion for aortobronchial fistula: a case report
Feasibility Of Physician Modified Stent Grafts In Emergent Aortic Surgery,2023,feasibility of physician modified stent grafts in emergent aortic surgery
The Impact Of Obesity On Outcomes After Fenestrated-Branched Endovascular Aneurysm Repair,2023,the impact of obesity on outcomes after fenestrated-branched endovascular aneurysm repair
Practical And Ethical Challenges Of Maintaining Vascular Access In Chronic Kidney Disease: A Qualitative Interview Study,2023,practical and ethical challenges of maintaining vascular access in chronic kidney disease: a qualitative interview study
The Carbon Footprint Of The Vascular Surgery Operating Room,2023,the carbon footprint of the vascular surgery operating room
Assessment Of Cardiovascular Risk Modification Therapies Amongst Vascular Surgery Patients Admitted With Chronic Limb Threatening Ischemia,2023,assessment of cardiovascular risk modification therapies amongst vascular surgery patients admitted with chronic limb threatening ischemia
Management Of Renal Artery Aneurysms: A Retrospective Study,2023,management of renal artery aneurysms: a retrospective study
Canada’s First Ladies Of Vascular Surgery,2023,canada’s first ladies of vascular surgery
Reproducibility Of Original Phase-Iii Or Higher Randomized Controlled Trial Results In Vascular And Endovascular Surgery: A Meta-Epidemiological Study,2023,reproducibility of original phase-iii or higher randomized controlled trial results in vascular and endovascular surgery: a meta-epidemiological study
Assessing The Robustness Of Positive Vascular Surgery Randomized Controlled Trials Using Their Fragility Index,2023,assessing the robustness of positive vascular surgery randomized controlled trials using their fragility index
Evaluating Appropriateness And Readability Of Clinical Vascular Surgery Recommendations Generated By An Artificial Intelligence Online Language Model (Chatgpt),2023,evaluating appropriateness and readability of clinical vascular surgery recommendations generated by an artificial intelligence online language model (chatgpt)
Slash And Splash Technique For Lower Extremity Vein Graft Stenosis Has Excellent Mid-Term Patency And Freedom From Re-Stenosis,2023,slash and splash technique for lower extremity vein graft stenosis has excellent mid-term patency and freedom from re-stenosis
Zone 0 Branched Endovascular Aortic Arch Repair,2023,zone 0 branched endovascular aortic arch repair
Evaluation Of The Efficacy Of An Online Learning Module To Increase Wound Care Theoretical Knowledge Amongst Medical Students,2023,evaluation of the efficacy of an online learning module to increase wound care theoretical knowledge amongst medical students
Predicting Major Adverse Cardiovascular Events Following Carotid Endarterectomy Using Machine Learning,2023,predicting major adverse cardiovascular events following carotid endarterectomy using machine learning
"The Effects Of A Wellness Assessment And Vascular Exercise (Wave) Program In Patients With Peripheral Arterial Disease In A Community Setting In Ontario, Canada",2023,"the effects of a wellness assessment and vascular exercise (wave) program in patients with peripheral arterial disease in a community setting in ontario, canada"
Risk Factors For Surgical Site Infection After Lower Limb Revascularization Surgery: A Systematic Review And Meta-Analysis Of Prognostic Studies,2023,risk factors for surgical site infection after lower limb revascularization surgery: a systematic review and meta-analysis of prognostic studies
Automated And Interpretable Deep Learning For Carotid Plaque Analysis Using Ultrasound,2023,automated and interpretable deep learning for carotid plaque analysis using ultrasound
A Novel Clinico-Anatomical Score Predicts Endovascular Failure In Patients With Chronic Limb-Threatening Ischemia,2023,a novel clinico-anatomical score predicts endovascular failure in patients with chronic limb-threatening ischemia
The Associations Between Diabetes And Metformin And Abdominal Aortic Aneurysm (Aaa) Events: A Retrospective Cohort Study,2023,the associations between diabetes and metformin and abdominal aortic aneurysm (aaa) events: a retrospective cohort study
Angiography-Related Contrast-Induced Nephropathy In Vascular Surgery: A Systematic Review And Meta-Analysis,2023,angiography-related contrast-induced nephropathy in vascular surgery: a systematic review and meta-analysis
Evidence For Underprescription Of Guideline-Recommended Cardiovascular Medications To Adults With Peripheral Artery Disease: A Systematic Review And Meta-Analysis,2023,evidence for underprescription of guideline-recommended cardiovascular medications to adults with peripheral artery disease: a systematic review and meta-analysis
Canadian Vascular Quality Improvement (CVQI) Update,2023,canadian vascular quality improvement (cvqi) update
Validation Of The Comprehensive Complication Index In Vascular Surgery For Open Abdominal Aortic Aneurysm Repair,2023,validation of the comprehensive complication index in vascular surgery for open abdominal aortic aneurysm repair
Using Machine Learning To Predict Outcomes Following Open Abdominal Aortic Aneurysm Repair,2023,using machine learning to predict outcomes following open abdominal aortic aneurysm repair
Arch Aneurysms Repair With Branched Endografts,2023,arch aneurysms repair with branched endografts
Sideeye: Performance Evaluation For Fenestrated Endovascular Aneurysm Repair Procedures,2023,sideeye: performance evaluation for fenestrated endovascular aneurysm repair procedures
Predictors Of Quality End-of-life Care And Goals Of Care Communication Amongst Vascular Surgery Patients,2023,predictors of quality end-of-life care and goals of care communication amongst vascular surgery patients
The Role Of Gender In Perceived Vascular Surgical And Cardiovascular Residency Training Experience: A Canadian Experience,2023,the role of gender in perceived vascular surgical and cardiovascular residency training experience: a canadian experience
Guideline-concordant Arteriovenous Fistula Care With The Predict-avf Web App,2023,guideline-concordant arteriovenous fistula care with the predict-avf web app
"For Elective Aortic Surgery Patients, Pre-operative Surgeon-to Surgeon Collaborative Case Conferences Resulted In A High Rate Of Change From Initial To Consensus Treatment Plan",2023,"for elective aortic surgery patients, pre-operative surgeon-to surgeon collaborative case conferences resulted in a high rate of change from initial to consensus treatment plan"
Retropubic Femoral-Femoral Bypasses Have Superior Outcomes When Compared To Grafts Tunnelled Subcutaneously,2022,retropubic femoral-femoral bypasses have superior outcomes when compared to grafts tunnelled subcutaneously
Exploring Prognostic Implications Of Race And Ethnicity In Patients With Peripheral Arterial Disease,2022,exploring prognostic implications of race and ethnicity in patients with peripheral arterial disease
Long-Term Outcomes Of Endovascular And Open Surgical Revascularization For Peripheral Artery Disease: A Population-Based Retrospective Cohort Study,2022,long-term outcomes of endovascular and open surgical revascularization for peripheral artery disease: a population-based retrospective cohort study
Iliac Artery Endofibrosis: Post-Operative Qol Outcomes For An Elusive Disease In High-Performance Athletes,2022,iliac artery endofibrosis: post-operative qol outcomes for an elusive disease in high-performance athletes
Impact Of Hospital Transfer On Acute Limb Ischemia Outcomes And Time To Revascularization,2022,impact of hospital transfer on acute limb ischemia outcomes and time to revascularization
The Impact Of Race On Outcomes Following Ruptured Abdominal Aortic Aneurysm Repair,2022,the impact of race on outcomes following ruptured abdominal aortic aneurysm repair
Mortality And Risk Factors For Abdominal Aortic Aneurysm Rupture After Evar (Rare),2022,mortality and risk factors for abdominal aortic aneurysm rupture after evar (rare)
Exploring Patient And Physician Perspectives Of Shared Decision-Making In Vascular Surgery,2022,exploring patient and physician perspectives of shared decision-making in vascular surgery
Outcomes Following Fenestrated/Branched Endovascular Aneurysm Repair In Patients With Concomitant Common Iliac Artery Aneurysms,2022,outcomes following fenestrated/branched endovascular aneurysm repair in patients with concomitant common iliac artery aneurysms
Outcomes Of Patients With Large Abdominal Aortic Aneurysms Managed Non-Operatively,2022,outcomes of patients with large abdominal aortic aneurysms managed non-operatively
Aneurysm Sac Dynamics And Mid-Term Outcomes After Fenestrated And Branched Endovascular Aortic Repair,2022,aneurysm sac dynamics and mid-term outcomes after fenestrated and branched endovascular aortic repair
Management Of Type 2 Endoleaks After Endovascular Aneurysm Repair: A Single Institution Experience,2022,management of type 2 endoleaks after endovascular aneurysm repair: a single institution experience
Endovascular Aneurysm Repair (Evar) In Patients With Hostile Neck Anatomy: A Single Institution Experience,2022,endovascular aneurysm repair (evar) in patients with hostile neck anatomy: a single institution experience
Impact Of Anemia On Outcomes Following Abdominal Aortic Aneurysm Repair,2022,impact of anemia on outcomes following abdominal aortic aneurysm repair
The Use Of Drug-Coated Balloons In The Treatment Of Femoropopliteal Occlusive Disease,2022,the use of drug-coated balloons in the treatment of femoropopliteal occlusive disease
Outcomes Following Covered Endovascular Reconstruction Of The Aortic Bifurcation (Cerab) For Aortoiliac Occlusive Disease,2022,outcomes following covered endovascular reconstruction of the aortic bifurcation (cerab) for aortoiliac occlusive disease
Outcomes Of Bypass Grafting Using Small-Diameter Allogenic Vascular Grafts For Peripheral Artery Disease,2022,outcomes of bypass grafting using small-diameter allogenic vascular grafts for peripheral artery disease
The Impact Of Frailty On Outcomes Following Lower Extremity Bypass Surgery For Peripheral Artery Disease,2022,the impact of frailty on outcomes following lower extremity bypass surgery for peripheral artery disease
Outcomes Following Carotid Artery Stenting In Patients With Fibromuscular Dysplasia,2022,outcomes following carotid artery stenting in patients with fibromuscular dysplasia
The Impact Of Socioeconomic Status On Outcomes Following Lower Extremity Amputation,2022,the impact of socioeconomic status on outcomes following lower extremity amputation
Outcomes Following Endovascular Repair Of Popliteal Artery Aneurysms,2022,outcomes following endovascular repair of popliteal artery aneurysms
Endovascular Repair Of Chronic Aortic Dissections With F/Bevar,2022,endovascular repair of chronic aortic dissections with f/bevar
Outcomes Of Patients Undergoing Aorto-Bifemoral Bypass For Aortoiliac Occlusive Disease,2022,outcomes of patients undergoing aorto-bifemoral bypass for aortoiliac occlusive disease
The Impact Of Chronic Kidney Disease On Outcomes Following Lower Extremity Bypass Surgery,2022,the impact of chronic kidney disease on outcomes following lower extremity bypass surgery
The Impact Of Gender On Outcomes Following Carotid Endarterectomy,2022,the impact of gender on outcomes following carotid endarterectomy
Outcomes Following Endovascular Repair Of Iliac Artery Aneurysms,2022,outcomes following endovascular repair of iliac artery aneurysms
The Impact Of Smoking On Outcomes Following Peripheral Artery Disease Interventions,2022,the impact of smoking on outcomes following peripheral artery disease interventions
Outcomes Following Hybrid Procedures For Aortoiliac Occlusive Disease,2022,outcomes following hybrid procedures for aortoiliac occlusive disease
The Impact Of Diabetes On Outcomes Following Lower Extremity Bypass Surgery,2022,the impact of diabetes on outcomes following lower extremity bypass surgery
Outcomes Following Endovascular Repair Of Thoracoabdominal Aortic Aneurysms,2022,outcomes following endovascular repair of thoracoabdominal aortic aneurysms
The Impact Of Obesity On Outcomes Following Abdominal Aortic Aneurysm Repair,2022,the impact of obesity on outcomes following abdominal aortic aneurysm repair
Outcomes Following Carotid Artery Stenting In Patients With Radiation-Induced Stenosis,2022,outcomes following carotid artery stenting in patients with radiation-induced stenosis
YouTube As A Source Of Patient And Trainee Education In Vascular Surgery,2022,youtube as a source of patient and trainee education in vascular surgery
Assessment Of The Reverse Fragility Index In Vascular Surgery Randomized Controlled Trials With Statistically Non-Significant Primary Outcomes,2022,assessment of the reverse fragility index in vascular surgery randomized controlled trials with statistically non-significant primary outcomes
"Exploration Of The Use Of Non-Verbal ""Trace"" Communication During Vascular Surgery Procedures",2022,"exploration of the use of non-verbal ""trace"" communication during vascular surgery procedures"
The Prognostic Role Of Pre-Operative Nutrition Status In Patients Undergoing Interventions For Peripheral Artery Disease,2022,the prognostic role of pre-operative nutrition status in patients undergoing interventions for peripheral artery disease
Varicose Veins: A Phenomenological Study To Explore Patient Expectations And Reasons For Frustration,2022,varicose veins: a phenomenological study to explore patient expectations and reasons for frustration
A Systematic Review And Meta-Analysis Of The Role Of Sealants For Achieving Anastomotic Hemostasis In Vascular Surgery,2022,a systematic review and meta-analysis of the role of sealants for achieving anastomotic hemostasis in vascular surgery
Identifying Barriers To Healthcare In High-Risk Populations,2022,identifying barriers to healthcare in high-risk populations
Lessons Learned From Medico-Legal Cases Associated With Vascular Surgery In Canada Between 2001 And 2020,2022,lessons learned from medico-legal cases associated with vascular surgery in canada between 2001 and 2020
Contraindications To Neuraxial Anesthesia In Patients Undergoing Lower Limb Revascularization Surgery,2022,contraindications to neuraxial anesthesia in patients undergoing lower limb revascularization surgery
Thrombocytopenia Correlates With Thrombus Burden In A Mouse Model Of Acute Deep Vein Thrombosis,2022,thrombocytopenia correlates with thrombus burden in a mouse model of acute deep vein thrombosis
The Impact Of Strict Perioperative Glycemic Control On Surgical Site Infections Following Lower Extremity Vascular Surgery: A Systematic Review,2022,the impact of strict perioperative glycemic control on surgical site infections following lower extremity vascular surgery: a systematic review
The Status Of Wound Care Research In Canada,2022,the status of wound care research in canada
"Catheye: Design, Developments, And Evaluation Of A Forward-Looking Ultrasound Catheter",2022,"catheye: design, developments, and evaluation of a forward-looking ultrasound catheter"
Retropubic Femoral-femoral Bypasses Have Superior Outcomes When Compared To Grafts Tunnelled Subcutaneously,2022,retropubic femoral-femoral bypasses have superior outcomes when compared to grafts tunnelled subcutaneously
Long-term Outcomes Of Endovascular And Open Surgical Revascularization For Peripheral Artery Disease: A Population-based Retrospective Cohort Study,2022,long-term outcomes of endovascular and open surgical revascularization for peripheral artery disease: a population-based retrospective cohort study
Exploring Prognostic Implications Of Race And Ethnicity In Patients With Peripheral Arterial Disease,2022,exploring prognostic implications of race and ethnicity in patients with peripheral arterial disease
Impact Of Hospital Transfer On Acute Limb Ischemia Outcomes And Time To Revascularization,2022,impact of hospital transfer on acute limb ischemia outcomes and time to revascularization
Post Operative Quality Of Life Outcomes In High Performance Athletes With Iliac Endofibrosis: A Retrospective Case Series,2022,post operative quality of life outcomes in high performance athletes with iliac endofibrosis: a retrospective case series
One-time Population-based Screening For Abdominal Aortic Aneurysms In Canada: A Model-based Cost-utility Analysis,2022,one-time population-based screening for abdominal aortic aneurysms in canada: a model-based cost-utility analysis
The Impact Of Race On Outcomes Following Ruptured Abdominal Aortic Aneurysm Repair,2022,the impact of race on outcomes following ruptured abdominal aortic aneurysm repair
Development Of An Artificial Intelligence Tool For Intraoperative Guidance During Endovascular Aneurysm Repair,2022,development of an artificial intelligence tool for intraoperative guidance during endovascular aneurysm repair
Mortality And Risk Factors For Abdominal Aortic Aneurysm Rupture After Evar (rare),2022,mortality and risk factors for abdominal aortic aneurysm rupture after evar (rare)
Association Between Body Mass Index And Outcomes Following Endovascular Aneurysm Repair,2022,association between body mass index and outcomes following endovascular aneurysm repair
Treatment Options and Outcomes for False Lumen Flow After Type B Dissection Overview,2022,treatment options and outcomes for false lumen flow after type b dissection overview
Outcomes Of Spinal Drain Placement For Aortic Surgery At Mcgill,2022,outcomes of spinal drain placement for aortic surgery at mcgill
Long-term Outcomes Of Fenestrated Endovascular Aneurysm Repair In Octogenarians: Vqi Database Analysis,2022,long-term outcomes of fenestrated endovascular aneurysm repair in octogenarians: vqi database analysis
"Longer-term Rates Of Survival And Reintervention Following Thoracic Endovascular Aortic Repair (tevar) For Blunt Aortic Injury: A Retrospective Population-based Cohort Study From Ontario, Canada",2022,"longer-term rates of survival and reintervention following thoracic endovascular aortic repair (tevar) for blunt aortic injury: a retrospective population-based cohort study from ontario, canada"
Evaluating Branch Characteristics Of Off-the-shelf T-branch And Custom-made Stent Grafts In Endovascular Repair Of Thoracoabdominal Aortic Aneurysms,2022,evaluating branch characteristics of off-the-shelf t-branch and custom-made stent grafts in endovascular repair of thoracoabdominal aortic aneurysms
Adjunctive Hyperbaric Oxygen Therapy For Spinal Cord Ischemia After Complex Aortic Repair,2022,adjunctive hyperbaric oxygen therapy for spinal cord ischemia after complex aortic repair
"Catheye: Design, Developments, And Evaluation Of A Forward-looking Ultrasound Catheter",2022,"catheye: design, developments, and evaluation of a forward-looking ultrasound catheter"
Identifying Barriers To Healthcare In High-risk Populations,2022,identifying barriers to healthcare in high-risk populations
Lessons Learned From Medico-legal Cases Associated With Vascular Surgery In Canada Between 2001 And 2020,2022,lessons learned from medico-legal cases associated with vascular surgery in canada between 2001 and 2020
Thrombocytopenia Correlates With Thrombus Burden In A Mouse Model Of Acute Deep Vein Thrombosis,2022,thrombocytopenia correlates with thrombus burden in a mouse model of acute deep vein thrombosis
Contraindications To Neuraxial Anesthesia In Patients Undergoing Lower Limb Revascularization Surgery,2022,contraindications to neuraxial anesthesia in patients undergoing lower limb revascularization surgery
Varicose Veins: A Phenomenological Study To Explore Patient Expectations And Reasons For Frustration,2022,varicose veins: a phenomenological study to explore patient expectations and reasons for frustration
A Systematic Review And Meta-analysis Of The Role Of Sealants For Achieving Anastomotic Hemostasis In Vascular Surgery,2022,a systematic review and meta-analysis of the role of sealants for achieving anastomotic hemostasis in vascular surgery
The Prognostic Role Of Pre-operative Nutrition Status In Patients Undergoing Interventions For Peripheral Artery Disease,2022,the prognostic role of pre-operative nutrition status in patients undergoing interventions for peripheral artery disease
"Exploration Of The Use Of Non-verbal ""trace"" Communication During Vascular Surgery Procedures",2022,"exploration of the use of non-verbal ""trace"" communication during vascular surgery procedures"
The Status Of Wound Care Research In Canada,2022,the status of wound care research in canada
The Impact Of Strict Perioperative Glycemic Control On Surgical Site Infections Following Lower Extremity Vascular Surgery: A Systematic Review,2022,the impact of strict perioperative glycemic control on surgical site infections following lower extremity vascular surgery: a systematic review
Machine Learning Classification Of Doppler Waveforms,2022,machine learning classification of doppler waveforms
Timing Of Complications Following Carotid Endarterectomy For Symptomatic And Asymptomatic Carotid Artery Stenosis,2022,timing of complications following carotid endarterectomy for symptomatic and asymptomatic carotid artery stenosis
Post-operative Complications After Carotid Endarterectomy For Free Floating Thrombus,2022,post-operative complications after carotid endarterectomy for free floating thrombus
Impact Of Use Of IAC Vs SRU Carotid Interpretation Criteria On Patient Management,2022,impact of use of iac vs sru carotid interpretation criteria on patient management
Comprehensive Network Meta-analysis Of Outcomes For The Treatment Of Extracranial Carotid Artery Aneurysms,2022,comprehensive network meta-analysis of outcomes for the treatment of extracranial carotid artery aneurysms
Use Of Telemedicine And Virtual Consultations For Patient Care In The Covid-19 Era And Beyond For Vascular Surgery Practice: A Systematic Review And Meta-analysis,2022,use of telemedicine and virtual consultations for patient care in the covid-19 era and beyond for vascular surgery practice: a systematic review and meta-analysis
Urinary Cystatin C Has Prognostic Value In Peripheral Artery Disease,2022,urinary cystatin c has prognostic value in peripheral artery disease
The Effect Of After Hours Presentation In Ruptured Abdominal Aortic Aneurysm,2022,the effect of after hours presentation in ruptured abdominal aortic aneurysm
"Trends In Incidence Of Abdominal Aortic Aneurysm Rupture, Repair And Mortality: 2005-2015",2022,"trends in incidence of abdominal aortic aneurysm rupture, repair and mortality: 2005-2015"
