Title,Year,Standardized Title
Endoscopic Trans-Axillary First Rib Resection,2024,"data capture in the cas registry, with a focus on shared decision making: using a standardized note for documentation increases success in submitting with validation"
Progression of Peripheral Artery Disease Severity after Interventions for Intermittent Claudication,2024,"data capture in the cas registry, with a focus on shared decision making: prioritizing our patients with shared decision-making"
The Impact of Femoropopliteal Chronic Total Occlusions on Comparative Outcomes of Endovascular Revascularization and Bypass for Intermittent Claudication,2024,"data capture in the cas registry, with a focus on shared decision making: development of a validated shared decision making tool for carotid care"
Bypass Despite Patent Endovascular Treated Arterial Segments in Patients with Tissue Loss,2024,"data capture in the cas registry, with a focus on shared decision making: q&a"
Long-term Outcomes of Great Saphenous Vein Harvest Techniques for Infrainguinal Arterial Bypass in a Medicare-matched Registry Database,2024,evolving the participation awards: introduction
Incentives and Individualized Coaching Improves Completion Rates of Supervised Exercise Therapy for Claudication,2024,evolving the participation awards: repositioning the participation awards
Institutional Experience with a Limb Salvage Quality Improvement Initiative Addressing Length of Stay and Readmissions,2024,evolving the participation awards: sustaining excellence
"A Standardized, Scalable & Automated Open-Source CT AAA Diameter Measurement Tool Using Deep Learning",2024,evolving the participation awards: reflections on excellence in leadership
Comparison of Bridging Stents Used with Fenestrations During Fenestrated/Branched Endovascular Aortic Aneurysm Repair (FB-EVAR),2024,evolving the participation awards: sustaining excellence
Endovascular Revascularization Outcomes in Octo- & Nonagenarians with Critical Limb-Threatening Ischemia from a Single Acute Vascular Surgery Care Center,2024,evolving the participation awards: q&a
A1C Improvement Does Not Correspond with Improved Long-Term Outcomes for Diabetic Foot Wounds in Patients with Peripheral Arterial Disease,2024,networking break and box lunch pick-up
Comparative Analysis of Stroke Rates in Arch TEVAR: Total Endovascular Repair Plagued by High Stroke Rates,2024,presentation of 3-star participation awards and poster competition winners
Duplex Screening for Renal Artery Stenosis Plus Selective 2nd Trimester Angioplasty to Reduce Maternal Morbidity and Improve Pregnancy Outcomes Among Women with Hypertensive Disorders of Pregnancy,2024,vqi nation update
Reliability of B-Mode Ultrasound Carotid Plaque Characterization in the CREST-2 Trial,2024,collaboration with peripheral artery disease national action plan - a focus on abi/tbi: introduction
The Effect of Palliative Care Involvement in Vascular Patients at End-of-Life,2024,collaboration with peripheral artery disease national action plan - a focus on abi/tbi: factors associated with absence of preoperative ankle brachial index ipsilateral to planned peripheral arterial procedures in the southeastern vascular quality initiative database
Reduction of Abdominal Aortic Aneurysm Rupture by Modulating Smooth Muscle Cell Phenotype Switching,2024,collaboration with peripheral artery disease national action plan - a focus on abi/tbi: overview on the aha pad coallition
Nearly One-Third of Medicare Patients Presenting with Acute Ischemic Stroke to Emergency Departments Fail to Receive Guideline-Recommended Carotid Imaging,2024,collaboration with peripheral artery disease national action plan - a focus on abi/tbi: the importance of abi/tbi in providing quality care to patients
Outcomes of Bridging Stentgraft Through the Suprarenal Fixation Stent of Previous EVAR in Complex Endovascular Aortic Treatment,2024,collaboration with peripheral artery disease national action plan - a focus on abi/tbi: q&a
State of PAD Care in the US,2024,updates on data integration efforts from fivos: introduction
Five Year Outcomes of the PRESERVE II Zenith Iliac Branch Pivotal Clinical Trial,2024,updates on data integration efforts from fivos: automated data integration
Utilization of Percutaneous Closure Devices for Large Bore Arterial Access in Genetic Aortopathy Patients Does Not Result in Increased Rates of Femoral Cutdown or Access Site Complications,2024,updates on data integration efforts from fivos: q&a
0.35-mm Lead-Equivalent Aprons Provide Similar Radiation Protection to Interventionalists Compared to 0.5-mm Lead-Equivalent Aprons During Fluoroscopically Guided Interventions,2024,continued importance of clinical data registries: introduction
Cone-Beam Computed Tomography During Fenestrated Endovascular Aortic Repair Avoids a Significant Number of Structural Defects That Would Otherwise Demand Reinterventions,2024,continued importance of clinical data registries: roundtable discussion
Prediction of Renal Function Decline After Endovascular Aortic Repair Using Three-Dimensional Image Analysis,2024,continued importance of clinical data registries: q&a
Endovascular Ascending Aortic Repair with Innominate Flaring: A Modified Technique to Correct Stent Graft Mismatch,2024,rapid fire research session: cerebral hyperperfusion syndrome after carotid revascularization: predictors and complications
High Limb Salvage Rate and Improved Quality of Life Following Aspiration Thrombectomy with Indigo for Lower-Extremity Acute Limb Ischemia: 12-Month Results from the STRIDE Study,2024,rapid fire research session: frailty indices for predicting outcomes after peripheral vascular interventions: comparative validation and a framework for standardized preoperative screening
Mortality Following Intervention for Acute Arterial Mesenteric Ischemia Remains Unchanged In-Spite of Escalating Use of Endovascular Revascularization,2024,rapid fire research session: women’s abdominal aortic aneurysm - repair early or at threshold
Drilling into Semi-annual Regional Reports,2023,rapid fire research session: outcomes of carotid stenting for nonatherosclerotic disease
TEVAR/Complex EVAR Claims Audit,2023,rapid fire research session: open bypass is superior to endovascular therapy in chronic limb threatening ischemia patients with prior endovascular attempts
Data Validation: Developing a Standard Inter-rater Review Process for the VQI Registry,2023,rapid fire research session: impact of skin closure with staples versus sutures in lower extremity bypass
SVS PSO Source Data Audit Update,2023,rapid fire research session: the impact of timing of thoracic endovascular aortic repair on the postoperative outcomes of patients with uncomplicated type b aortic dissection
HDA Panel Discussion,2023,rapid fire research session: using machine learning to predict outcomes following open abdominal aortic aneurysm repair
Aortic Panel Discussion,2023,rapid fire research session: when size doesn’t matter: the role of vein diameter on the efficacy of endovenous laser therapy
Carotid Panel Discussion,2023,"rapid fire research session: long-term outcomes of reversed, in-situ, and non-reversed great saphenous vein conduits for chronic limb-threatening ischemia: an analysis of the vascular quality initiative-medicare-linked database"
Lower Extremity Panel Discussion,2023,rapid fire research session: foley insertion is a modifiable risk factor for prolonged length of stay after carotid endarterectomy
Value of Participation in VQI Venous Registries,2023,opening keynote: still we lead: centering the voice of nursing in a time of crisis and change
Venous Panel Discussion,2023,aorta advances ahead: improving patient outcomes with eras protocols for open abdominal aortic aneurysm repair
"ESVS: Global Burden, Pattern and Management of CLTI Patients across the Globe",2023,aorta advances ahead: the staaable trial: a new approach to treatment of small to medium-sized abdominal aortic aneurysms
"SVS: Tailoring CEA, TCAR and TF-CAS to Improve Clinical and Cognitive Outcomes",2023,aorta advances ahead: advancements in aortic care
VSI: Tibial Arteries Angioplasty Indian Scenario,2023,vascular imaging insights: understanding aortic disease on ct imaging
JSVS: Remodeling of Proximal Zone and Sac Shrinkage after EVAR or FEVAR,2023,vascular imaging insights: the vascular diagnostic lab: everything you need to know about vascular imaging
VASSA: Training Vascular Surgeons - Challenge We Face in Africa,2023,vascular imaging insights: arterial testing
ALCVA: Hybrid Operations for Aortic Arch Aneurysms,2023,vascular imaging insights: q&a/panel discussion
ANZSVS: Challenges for Remote Area Vascular Care Facing the ANZSVS,2023,pioneering pad solutions: 2025 updates in peripheral artery disease
ASVS: Insights from Endovascular Repair of the Arch using Custom-branded Endografts,2023,pioneering pad solutions: incorporating podiatry in the management of pad
Endothelial Cells Establish Focused Communication with Surrounding Vascular Cells through Compartment-directed Release of Extracellular Vesicles Containing Distinct Cargo,2023,pioneering pad solutions: q&a/panel discussion
Understanding and Improving Risk Assessment of Abdominal Aortic Aneurysm Growth Using Statistical Shape Modeling of the Infrarenal Aorta,2023,pioneering pad solutions: identifying timely initiation of optimal medical therapy in critical limb ischemia (cli) patients: a quality improvement initiative
Carotid Revascularization Improves Mood in Depressed Patients with Advanced Carotid Disease,2023,pioneering pad solutions: empowering choices: palliative care and shared decision making in chronic limb ischemia
Assessment of Bleeding Risk in Patients Being Considered for VTE Pharmacoprophylaxis in a Large Nationwide Cohort,2023,pioneering pad solutions: q&a/panel discussion
Perceptions of the Shared Learning Environment by Vascular and General Surgery Residents,2023,1-year results from the pivotal trial of a 4-branch thoracoabdominal branch endoprosthesis
Comparative Analysis of Reinterventions After Lower Extremity Revascularization Between the Sexes,2023,procedural timing influences outcomes of carotid revascularization in patients with bilateral carotid stenosis
Long-Term Outcomes in the Smoking Claudicant After Elective Lower Extremity Bypass,2023,open versus laparoscopic median arcuate ligament release: a single-institution experience
Endovascular Thermal Septotomy for Chronic Post-dissection Aneurysms,2023,robotic median arcuate ligament release
A Thousand Miles Starts with a Single Step: Building a Team to Improve the Functional Recovery following Major Lower Extremity Amputation,2023,hospital setting of endovascular repair influences procedural outcomes in blunt traumatic aortic injury
Targeted Muscle Re-innervation: A Surgical Treatment for Phantom Limb Pain,2023,maturation and long-term durability of extravascular supported and snuffbox radiocephalic arteriovenous fistulas for dialysis patients
Engaging with Patients and Families to Confront the Possibility of Amputation for Chronic Limb-threatening Ischemia,2023,comparison of long-term outcomes between tadv versus standard of care therapy for no-option clti patients
Limb Alert: Not Just Another Cold Leg,2023,fndc1 is implicated in small and large-vessel arterial disease and induces vascular calcification via pi3k/akt signaling and the nad salvage pathway
PAD Q&A,2023,optimizing hospital billing by using data from the vascular quality initiative (vqi)
Neo-aortoiliac System Procedure to Replace an Infected Abdominal Aorta: A Case Study,2023,regional and specialty-specific medicare billing trends in lower extremity endovascular interventions
Management of Thoracic Aortic Disease: Update on Guidelines,2023,how vascular disease costs more than an arm and the leg: annual chronic limb ischemia cost per capita approaches and may exceed annual per capita costs of top cancers in the united states
Aorta Pathology,2023,impact of 2023 updated intersocietal accreditation commission interpretation criteria for carotid stenosis on thresholds for treatment of carotid artery disease
Aortic Disease Q&A,2023,eight year single center experience with double layer carotid stent
TCAR,2023,comparative outcomes of tfcas vs cea vs tcar in standard and high-risk patients since the cms decision in october 2023 using the vqi
IVC Filter Reconstruction,2023,impact of the 2023 cms policy change on carotid artery stenting utilization among medicare beneficiaries
Dialysis Access,2023,61-year-old male with a saccular distal arch aneurysm: a hybrid technique for repair
The Importance of Tracking 30-day Follow-up,2023,heart and vascular centers - are they beneficial to vascular surgeons?
Implementation and Dissemination of Frailty Assessment within the Vascular Surgery Clinic Workflow,2023,discussion
Update on Adding Frailty Variables to VQI Registries,2023,departments of vascular surgery in academic and community hospitals - are they worth fighting for?
A Comprehensive Multi-disciplinary Inpatient-based Approach to Smoking Cessation for Patients with Vascular Disease,2023,discussion
Treating Smoking in Vascular Patients: An Essential Component of Care,2023,marketing and fair compensation for vascular surgeons- how can vascular surgeons get financially reimbursed fairly? report of the svs population health task force
The SVS VQI's New National Quality Initiative,2023,discussion
Registry Operations Update from Fivos,2023,how can vascular surgeons unionize when 95% of payments come from medicare?
A Social Media Campaign to Promote Safe Techniques in Femoral Access,2023,industry symposia: abbott presents: drug-eluting resorbable scaffolds: should they be the new standard of care for infrapopliteal clti?
VQI Fellows in Training Program Update and Awards,2023,how can artificial intelligence contribute to the management of aortic diseases
Ten Years of VQI Participation: A Single Systems Experience,2023,wellness in vascular surgery training and practice – it’s complicated
Improving Device Identification in the VQI,2023,quality of life assessment in patients presenting with thoracic outlet syndrome scher iii stage after surgical therapy
Update of SVS PSO Risk Calculators,2023,the current status and strategies of clti treatment in japan
VQI National Update,2023,median arcuate ligament syndrome
Registry Reporting Tour and Cedaron Update,2023,open reconstructions of renal arteries after endovascular failures
ACO Goals Can Significantly Increase Use of QI Tools (Such as Aortic Diagrams),2023,the australasian vascular audit – 15 years of data informing vascular practice improvement: what lessons have we learned?
Early Results of Patient-reported Outcomes for Peripheral Vascular Interventions for Claudication,2023,educating vascular surgeons about surgical techniques and the science behind them
Quarterly Long-term Follow-up Notifications and VQI LTFU Epic Templates Improve Overall Long-term Follow-up in VQI,2023,female patients with vascular disease receive less medical optimization despite more healthcare utilization
Templated Note for Improved Vascular Quality Initiative Data Acquisition,2023,tevar with dissection stent for malperfusion in acute type a aortic dissection: a bridge to open repair
Epic Data Automation Pilot: A Precursor to a National Launch,2023,high quality clti care requires above average performance in both open and endovascular treatment
Update on Data Automation with Cerner and Fivos,2023,strokes occurring after transfemoral carotid artery stenting are the most lethal and disabling: a comparative analysis of rankin scores
Updates and Recommendations on RAC Proposals,2023,the association of urgent/emergent repair on outcomes following thoracic endovascular aortic repair for intramural hematoma
Rapid Fire: Prior Endovascular Intervention is Not Associated with Unfavorable Outcomes in Infrainguinal Bypass Surgery,2023,comparative outcomes of extremity vascular trauma managed in trauma vs. vascular hybrid operating rooms
Rapid Fire: What Does VQI Inform Us about Below-the-Knee vs Above-knee Treatment of Varicose Veins?,2023,analysis of risk factors for acute limb ischemia in popliteal artery aneurysms (jast2302 study)
Rapid Fire: Who Requires an Admission for Claudication Interventions?,2023,outcomes of upper versus lower extremity access among patients treated by multi-branched endovascular aortic repair of complex aortic aneurysms in the international multicenter aortic research group
Rapid Fire: Using Machine Learning to Predict Outcomes following Carotid Endarterectomy,2023,national impact of virtual residency interview format on the integrated vascular surgery match
Rapid Fire: Risk Factors for Cerebral Hyperperfusion Syndrome following Carotid Revascularization,2023,impact of a new dissection classification of society for vascular surgery and society of thoracic surgeons on acute stanford type a aortic dissection
Rapid Fire: Basic Vein Fistulas - Two-stage versus Single-stage,2023,smoking cessation duration to decrease the risk of amputation after revascularization for chronic limb-threatening ischemia
Rapid Fire: African Americans Present with Worse Stage of Chronic Venous Insufficiency and Have Least Improvement from Ablation Therapy,2023,"glp-1 receptor agonists are associated with fewer major complications, hospital admissions, and better venous ulcer healing"
Rapid Fire: Anemia is Associated with Higher Mortality and Morbidity after Thoracic Endovascular Aortic Repair,2023,cerebrovascular
Rapid Fire: Lower Extremity Revascularization in Octogenarians and Nonagenarians for Intermittent Claudication,2023,abdominal
Rapid Fire: Vascular Quality Initiative Physician Attitudes toward Patient-reported Outcome Measures for Peripheral Arterial Disease,2023,peripheral arterial—duplex imaging
Mortality and Morbidity Following Initiation of Anti-coagulant versus Anti-platelet Treatment for Blunt Cerebrovascular Injury: A Nationwide Database Analysis,2023,peripheral arterial—physiologic
Carotid Stent Durability: The Incidence of Carotid Stent Fracture and the Associated Implications,2023,peripheral venous
Risk of Reintervention Is Lower for Carotid Endarterectomy Than Carotid Artery Stenting,2023,outcomes following staged versus synchronous cervical debranching to optimize proximal landing zones for thoracic endovascular aortic repair
Impact of Head and Neck Radiation on Long Term Outcomes After Carotid Revascularization,2023,the impact of reduced general surgery requirements on integrated vascular surgery residents' operative experience
Natural History of Internal Carotid Artery Stenosis Progression,2023,navigating the challenges for hemodialysis access trials: insights into enrollment barriers and demographic trends
Multi-Center Experience with Intravascular Lithotripsy for Treatment of Severe Calcification During TCAR for High-Risk Patients,2023,outcomes from the multicenter laser in-situ fenestrated endovascular repair (life) registry for complex thoracoabdominal and pararenal aortic pathology
The Endothelial Cell is the Superhero of the Vascular System,2023,contemporary outcomes of lower extremity vein bypass for chronic limb-threatening ischemia: a post hoc comparison of best-cli and prevent iii multicenter prospective randomized controlled trials
Explant of an Embolized Left Atrial Appendage Occlusion Device,2023,the evidence for pe intervention: is there a mortality benefit and does it matter?
"The State and Future of Our Specialty - Extending, Repairing and Maintaining the Vascular Surgery Pipeline",2023,risk stratification in acute pe: how to determine who will benefit from intervention and how treat them in time
"Embolization for Vascular Surgeons: Techniques, Tips and Tricks",2023,debate: catheter directed lysis vs. percutaneous thrombectomy: can this be a data-driven decision?
Deep Venous Thrombosis Interventions: Who do We Treat and Why?,2023,debate: catheter directed lysis vs. percutaneous thrombectomy: can this be a data-driven decision?
Deep Venous Thrombectomy Therapeutic Options: So Many Options,2023,debate discussion
Aggressive Thrombus Removal: Tips and Tricks,2023,device selection: is bigger always better when it comes to thrombus removal?
IVC Thrombosis: What Works?,2023,how to deal with the pe in transit: when and how to intervene safely
Best Resident DVT Case Study: Management of Lower Extremity Deep Vein Thrombosis using Ultrasound-Accelerated Thrombolysis and Aspiration Thrombectomy in a Pediatric Patient with Inferior Vena Cava Atresia,2023,the role of vascular surgeons on pulmonary embolism response teams: leaders or spectators
Transition to Retirement: What I Wish I Would Have Known,2023,"a critical review of limitations of endovascular rtc evidence for clti, including the impact of glass in life-btk trial outcomes"
"Member Perspectives on Advocacy - Myths, Facts and Reasons Why all SVS Members Should Engage",2023,how do secondary subset analyses from best-cli inform which patients are better served by initial open surgery vs. endovascular therapy?
Malperfusion Syndromes and aTBAD: PETTICOAT or STABILISE?,2023,how do specific anatomic patterns of disease impact the choice of endo vs. surgery first?
Intramural Hematoma of the Aorta and How it Differs from Classic TBAD,2023,"what constitutes 'suitability for open surgical bypass', what percentage of clti patients have acceptable risk and suitable vein?"
Uncomplicated TBAD: What is the Evidence Basis for High Risk Features?,2023,how does my 30 years of endovascular expertise influence my answer to the question of who should not have an endovascular approach as a first step?
Panel Discussion,2023,how do wifi and glass inform our decision-making about who should not be treated with endovascular as a first approach?
Open Hybrid Repair of cTBAD: The Best of Both Worlds?,2023,comparison of 12-month reintervention and index of patency outcomes following treatment with a novel cell-impermeable endoprosthesis versus percutaneous transluminal angioplasty
Management of Intraoperative Complications in F/BEVAR for cTBAD,2023,the futile fistula: predicting maturation failure in arteriovenous dialysis access
Long-term False Lumen Management: OMT or Reintervention?,2023,vascular surgery consults in the pediatric population over 20 years
Improving Quality Without Sacrificing Reimbursement: Is Your Practice Ready?,2023,the impact of distal perfusion catheters on vascular complications in va ecmo at a single institution
Improving Quality Without Sacrificing Reimbursement: Is Your Practice Ready?,2023,using machine learning to predict cerebral hyperperfusion following carotid revascularization
Impact to a Vascular Surgeon’s Practice: Using Advanced Therapy to Achieve Better Outcomes,2023,3d-printed models in endovascular aorta surgery: angiovascular hospital experience
Implementing a New Model of Vascular Workflow: The Next Gen Vascular Wound Center,2023,limb preservation in southeast asia
Case Study: Diabetic Foot Ulcer Management Using Diagnostic Conventional and New Imaging Modalities in Assessing Microperfusion,2023,outcomes of femoro-distal bypass and hybrid procedure (endovascular treatment for femoropopliteal lesions and popliteal-to-distal bypass) for clti
Case Study: Improving Clinical Acumen of Assessing Infection of Venous Leg Ulcer,2023,mechanical thrombectomy with clottriever in latam: it's not always about the evidence
Case Study: Lower Extremity Phlebolymphedema and Leg Ulcer,2023,artificial intelligence and extended reality in the training of vascular surgeons
Expanding the Vascular Surgeons Toolbox: Bringing Vascular Wound Research to Your Practice,2023,outcomes of endovascular repair for acute versus subacute uncomplicated type b aortic dissection: a 15-year multicenter retrospective study
Registered Physician Vascular Interpretation Exam Review - Session 1: Ultrasound Physics and Vascular Test Interpretation,2023,single-stage vs. multistage procedures for thoracoabdominal aneurysm repair and spinal cord ischemia
Open Thoracoabdominal Aortic Aneurysm Repair: Does Chronic Dissection Differ from Aneurysm?,2023,mid-term outcomes of bolton treo inside of instruction for use vs. outside instruction for use
Outcomes of Primary Determinate and Indeterminate Target Vessel Endoleaks After Fenestrated-Branched Endovascular Aortic Repair,2023,retrocarotid dissection technique compared to the caudocranial approach for the surgical treatment of carotid body tumors: a 15-year experience
"Natural History of Infrarenal Aortic Ectasia Within a Large, Regional Integrated Health Network",2023,endovascular treatment and vascular access history in patients with central vein stenosis: a single-center experience
Persistent Thrombocytopenia Indicates Endoleak After Complex Endovascular Aneurysm Repair,2023,journal of vascular surgery: best practices in peer review and revision
Primary Aortic Endograft Infections Have Worse Outcomes Compared to Infections Involving Aortic Surgical Grafts or Primary Mycotic Aortic Infections,2023,journal of vascular surgery-vascular insights: effectively addressing your audience
General Anesthesia Does Not Increase Mortality and Morbidity in High-risk Patients Undergoing Carotid Endarterectomy,2023,journal of vascular surgery - venous and lymphatic diseases: artificial intelligence – the future is now
Mid-term Results of the Carotid Asymptomatic Stenosis Observational Study,2023,journal of vascular surgery - vascular science: data presentation tips and tricks
Perioperative Outcomes After Carotid Revascularization in Asian Patients Varies with Asian Procedure Density,2023,journal of vascular surgery - cases and innovative techniques: embrace the process!
Evaluation of Plavix Resistance and Its Role in Predicting Stent Thrombosis in Transcarotid Artery Revascularization,2023,"great, i have an idea now! (great - i have no idea what to do now!)"
Perioperative Systemic Complications and Adverse Events in the BEST-CLI Trial,2023,from bench to business: the role of biomedical accelerator programs in successful innovation
Removal of Intracaval and Intracardiac Leiomyoma in a 49-year-old Female,2023,keep on innovating! stories from the frontline of successful innovation
What do SVS 2021 and ESVS 2023 Guidelines Tell Us about Symptomatic Carotid Disease?,2023,show me the money! how to build relationships and partner with venture capitalists
Debate: Trans-femoral CAS with Distal Embolic Protection or Proximal Balloon Occlusion is Preferable to TCAR for Acutely Symptomatic Carotid Disease,2023,how to patent and protect your innovative medical device!
Debate: Not so - TCAR is Ready for Symptomatic Disease,2023,introducing the innovation task force and incubator initiative program
